NestID,Length,TotalLength,ItemNumber,RemainingLength
11208,1643,11798,UG32-0048-S,1202
11211,1242,3726,UG32-0034-S,9274
11211,1242,3726,UG32-0035-S,9274
11456,493,6000,01018,0
11456,493,6000,01019,0
11456,493,6000,01020,0
11456,399,6000,01468,0
11456,368,6000,00505,0
11457,493,1599,00524,4401
11458,665,4689,01932,0
11458,256,4689,01113,0
11458,256,4689,01114,0
11460,492,8000,01924,0
11461,1880,8000,00095,0
11464,2491,8000,00077,0
11464,2262,8000,00090,0
11465,1482,7988,01022,12
11466,2195,7981,01025,19
11466,982,7981,01378,19
11468,2462,7386,00089,614
11468,2462,7386,00091,614
11468,2462,7386,00094,614
11471,1894,1894,00644,6106
11184,299,4173,03572,0
11185,541,6000,02918,0
11185,485,6000,02861,0
11190,264,3946,02917,2054
11191,544,5221,03292,1
11191,491,5221,02833,1
11191,491,5221,03035,1
11191,485,5221,02250,1
11191,485,5221,03114,1
11191,471,5221,01901,1
11191,471,5221,01902,1
11191,129,5221,03220,1
11192,471,1286,02834,6714
11192,471,1286,02835,6714
11192,344,1286,03219,6714
11193,180,4111,02669,42
11193,180,4111,03169,42
11194,180,7966,00242,34
11196,324,7949,01251,51
11204,993,5154,03180,4135
11204,993,5154,03181,4135
11204,655,5154,01248,4135
11204,490,5154,03182,4135
11204,181,5154,03581,4135
11205,2453,12979,00231,21
11205,2330,12979,02467,21
11205,1870,12979,02485,21
11205,1810,12979,02474,21
11205,1263,12979,01252,21
11205,1255,12979,02486,21
11205,1036,12979,00326,21
11205,490,12979,00235,21
11205,472,12979,00239,21
11206,1132,2619,00233,10381
11206,582,2619,00236,10381
11206,534,2619,00214,10381
11206,371,2619,01815,10381
11209,1930,1930,03096,2991
11455,561,6000,01633,0
11455,368,6000,01173,0
11455,346,6000,02510,0
11455,346,6000,02511,0
11455,346,6000,02512,0
11456,466,6000,01655,0
11456,346,6000,01174,0
11457,452,1599,01170,4401
11459,2547,8000,00521,0
11460,340,8000,00996,0
11460,234,8000,00519,0
11461,2200,8000,00083,0
11462,2547,8000,00517,0
11462,1486,8000,00518,0
11464,2322,8000,00513,0
11467,2547,7479,00516,521
11469,2396,7180,00515,820
1018,555,4480,01767,0
1018,555,4480,01768,0
1018,343,4480,00658,0
1019,555,5950,01766,50
1020,238,2194,01094,3806
1023,1618,13000,01764,0
1023,1158,13000,00048,0
1023,647,13000,01765,0
1023,608,13000,00055,0
1023,514,13000,00955,0
1023,438,13000,01984,0
1023,277,13000,02028,0
1024,3118,13000,00060,0
1024,764,13000,00053,0
1024,754,13000,00051,0
1024,723,13000,00039,0
1024,443,13000,00054,0
1025,1832,13000,00047,0
1025,1618,13000,00057,0
1025,1618,13000,00059,0
1025,1368,13000,01762,0
1025,1364,13000,01771,0
1025,1301,13000,01763,0
1025,757,13000,01100,0
1025,723,13000,00033,0
1025,683,13000,02265,0
1025,464,13000,00052,0
1025,448,13000,00050,0
1026,2262,12998,00062,2
1026,1482,12998,00061,2
1027,214,12836,01772,164
1029,2985,11899,00046,1101
11455,498,6000,01675,0
11455,493,6000,01234,0
11455,470,6000,02067,0
11455,456,6000,00087,0
11455,418,6000,01159,0
11455,392,6000,01231,0
11455,391,6000,01162,0
11456,493,6000,01161,0
11456,429,6000,01232,0
11456,357,6000,00798,0
11456,345,6000,02066,0
11457,368,1599,01676,4401
11459,2546,8000,00686,0
11459,1018,8000,01379,0
11460,492,8000,01600,0
11460,492,8000,01903,0
11460,492,8000,02046,0
11460,488,8000,02047,0
11460,474,8000,01871,0
11460,474,8000,01873,0
11461,256,8000,01685,0
11461,256,8000,01686,0
11463,2250,8000,00548,0
11463,1043,8000,01380,0
